,subject
259,Jorge Enríquez
356,Joseph Kony
188,Steve Cummins
334,John Craven
480,Manny Pacquiao
311,Melvin Van Peebles
80,Enamul Haque (engineer)
186,Akbar Hossain
142,Arthur Wakefield
39,Maja Jager
328,Daniel Bedingfield
153,Félix María Zuloaga
240,Phil Vickery (rugby union)
67,"Felipe (footballer, born 1977)"
265,Deyverson
248,Bobo Baldé
341,Timothy Evans
217,Jennifer Paz
423,Ralph Macchio
184,Phillip Gillespie
87,Sandra Pisani
41,Abdul Ilah Khatib
417,Quincy Jones
382,Uee
91,Tappaya Sit-Or
271,Blanca Errázuriz
251,Henryk Wieniawski
360,Vicente Guerrero
85,Leo Kokubo
75,Juan Nepomucino Goetz
59,Esteban Espíndola
169,Abdul Halik Hudu
202,Edgar Bennett
412,Hayden Panettiere
221,George Eacker
14,Jimmy Tompkins (priest)
90,Sayaka Ando
384,Samir Kochhar
149,Aert van der Neer
106,W. Clark Still
501,Nick Kyrgios
389,Julie Bishop
376,Lucas Boyé
151,Ruth Fischer
495,Ahn Jae-hyun
70,Tarik Marzouk
277,Josh Mansour
429,Jean-Claude Van Damme
329,"Prince Carl Philip, Duke of Värmland"
487,Vijay (actor)
17,Jeffrey Viggiano
50,Balázs Bekő
460,Fidel Castro
158,Mohamed Abdi Mohamed
35,Raffaele Maiello
486,Anurag Kashyap
354,Lunay (singer)
305,Kari Matchett
166,Santiago Vergini
456,Lionel Messi
467,Philippe Coutinho
380,Jemima Goldsmith
53,Braulio Lara
361,Asafa Powell
247,Gubby Allen
244,Elizabeth Inglis
213,Cierre Wood
241,Frank Middlemass
12,Blair Tugman
351,Bastian Schweinsteiger
21,Meg Thalken
368,Ian Khama
174,Vanda Pignato
117,Caitlin Lowe
472,Franck Ribéry
338,Jeremy Northam
180,Aditya Kalyanpur
299,Fumiko Kaneko
145,Jake Tilson
42,Dennis Andersson
294,Dewi Sartika
215,Ryan Brasier
122,Emcee N.I.C.E.
466,Shakira
210,Virginia Christine
364,Vicente Carrillo Fuentes
245,Mihai Eminescu
497,Joji (musician)
187,Zhang Yaokun
262,Abdulqawi Yusuf
318,Stephen Miller (political advisor)
276,Will Voigt
468,Ronaldinho
455,Cris Cyborg
139,Generoso Rossi
293,Hoshiar Singh Dahiya
8,Daniel Alexander Cameron
402,John Forbes Nash Jr.
119,John Counter
206,Lennie Hayton
54,Theophilus Annorbaah
92,Annie Landouw
128,Diana Ivanova
243,"Tracy Somerset, Duchess of Beaufort"
319,Shawn Ashmore
400,Rii Sen
29,Dana Awartani
304,Tom Coburn
83,Sayuri Yamauchi
43,Camille Paulus
307,Gary Woodland
314,Dana Ashbrook
336,Riccardo Tisci
24,Michael H. Schneider Sr.
475,Carmelo Anthony
396,Arif Mohammad Khan
325,Maurice Jones-Drew
179,Douglas Wood (engineer)
1,George Washington
479,Radhika Apte
118,Maddy Crippen
483,RM (rapper)
410,Bobby Fischer
146,Neil Googe
327,Tony Bellew
420,Valerie Harper
163,Chacho Gaytán
286,Jennifer Sevilla
337,Daniel Ek
424,Rebecca Romijn
342,Levi Roots
473,Lali Espósito
387,Vance Joy
167,Alexandre Hohagen
490,Muhammad Ali Jinnah
160,Jesse Chacón
229,André Le Nôtre
185,Shigeru Fukudome
292,Robert Jennings (rugby league)
358,Ayman al-Zawahiri
408,Sage Stallone
260,Fuerza Guerrera
130,Sami Shalom Chetrit
249,Julian Jarrold
222,Jeff Beukeboom
6,Patrick Merrill
392,Grant Bowler
421,James Franco
448,Richard Burton
399,Jo Koy
57,"João Lucas (footballer, born 1991)"
126,Kathleen A. McGrath
303,Kerwin Bell
196,Mamunul Islam
191,Thirayuth Boonmee
205,Jeff Long (athletic director)
296,Rana Sanaullah
345,Gretl Braun
123,Karyn Pugliese
4,Billy Conigliaro
471,Michael Douglas
94,Date Narikuni
371,Lupe Vélez
228,Giorgi Papunashvili
162,Roxana Miranda
165,Flávio Rocha
390,Vishal (actor)
23,Shane Fontayne
366,Sérgio Moraes
312,Carol Dweck
136,Karl Eliasberg
144,Neil Sinclair
214,Jan-Michael Gambill
5,Joseph A. Lopez
357,Diego Godín
306,Clancy Brown
388,Pallavi Joshi
462,Idi Amin
116,Stan Marple
283,Minako Honda
225,Joe McGinniss
69,Ana Cláudia Bolzan
431,Coco Chanel
393,Shoya Nakajima
176,Diego Suarez (garden designer)
258,Danny Faure
89,Noel Malicdem
150,Michael Coulson (barrister)
481,Vicky Kaushal
254,Cobhams Asuquo
44,Michael Folorunsho
273,Funke Abimbola
445,Jacques Cousteau
107,Jonathan Roy
350,Belisarius
233,James Tyrrell
378,Takuma Asano
500,Cha Eun-woo
216,Mark Murphy (singer)
324,Carrie Ann Inaba
297,Thomas Jack
125,Ingo Titze
66,Édgar Iván López
263,Ezechiel N'Douassel
183,Ted Mack (politician)
446,Marcus Aurelius
428,Feroze Gandhi
494,14th Dalai Lama
288,Bhāskara I
40,Angela Bairstow
177,Haruto Takahashi
470,Cleopatra
200,Alf Garland
300,G. Venugopal
315,Nikole Hannah-Jones
26,Joseph Michael Linsner
383,Mukesh (actor)
482,Karl Urban
256,Rosaline Elbay
343,Andriy Yarmolenko
99,Nobuhiro Shimatani
230,Roman Pavlyuchenko
129,Arthur Ewert
385,Maya Yoshida
381,Suthida
347,Cheyenne Brando
198,Ahsee Tuala
120,Jeffrey Satinover
219,Jefferson Thomas
108,Jimmy Weldon
114,Benjamin Lawrence Reid
406,Liam Neeson
401,Raghav Juyal
348,Pratibha Patil
208,Charmion King
484,Xi Jinping
317,Charles B. McVay III
326,Raúl Esparza
51,David Bogue
204,Naz Mitrou-Long
425,Richard Kuklinski
15,Alexander Vovin
257,Sofiane Feghouli
275,María José (singer)
170,José Hernández Delgadillo
172,Stephanus Swart
432,Henry VII of England
414,Chris Cuomo
353,Danny Almonte
453,Ricky Martin
124,Michael L. MacDonald
82,R. Selvaraj (politician)
238,Witold Gombrowicz
152,Ameyaw Debrah
201,Don Beard
226,Ted Thompson
246,Vujadin Savić
193,Jashubhai Dhanabhai Barad
227,Roman Šebrle
476,Griselda Blanco
64,Rui Campos
488,Kajal Aggarwal
422,Katherine Ryan
86,Neha Sargam
212,Jean Muir (actress)
391,Adnan Sami
28,Richie Dorman
197,Khalid Mahmood Mithu
437,Winston Churchill
18,Earl Garrison
232,Michael Goleniewski
458,Dascha Polanco
464,Stephanie Beatriz
394,Ziaur Rahman
52,Grayston Burgess
143,Felician of Foligno
284,Tim Ferguson
45,Hiren Gohain
377,Gulshan Kumar
272,Diosdado Cabello
438,Ivan Perišić
19,Maggie Cogan
131,Robbie Horgan
369,Mike Adenuga
62,Christian Almeida
253,Patoranking
363,Luiz Inácio Lula da Silva
78,Muhammad Alhamid
459,Kaká
223,Mindy Smith
224,Deitrick Haddon
95,Loo Kum Zee
250,Vasily Chuikov
339,Charley Boorman
109,William M. Brodhead
